Gene1	Gene2	Weight
ZMAT5	SNRNP25	1
HDAC2	CCNH	1
LARS1	MARS1	1
RBM22	EIF4A3	1
PLRG1	SNRPD3	1
TRAPPC8	TRAPPC6A	1
HMG20A	PHF21A	1
SNRNP35	SF3B5	1
SAP130	BRMS1L	1
TRAPPC5	TRAPPC4	1
NDUFB8	NDUFB1	1
CUL2	SKP2	1
SUDS3	BRMS1	1
ASB9	ELOC	1
POLR2I	POLR2J	1
WASHC5	ARHGEF1	1
SF3B6	SNRPF	1
ATP5F1B	ATP5MG	1
EIF3G	EIF3F	1
KMT2B	DPY30	1
SYNCRIP	YBX1	1
RPL35	RPL11	1
MED10	MED8	1
EFTUD2	SNRNP200	1
MED20	MED4	1
RPL32	RPS11	1
RPL36	RPL15	1
RPL35A	RPL27	1
MT-ND3	NDUFA13	1
ARPC5	ACTR2	1
ING2	BRMS1L	1
BCAS2	SNRPD3	1
SYMPK	CSTF3	1
RPL17	RPL32	1
RUVBL2	URI1	1
ATP5PF	ATP5PD	1
GRSF1	DHX30	1
TFIP11	RBM39	1
DR1	KAT14	1
MED30	MED14	1
EIF4A3	SRRM1	1
RPL32	RPL15	1
MED29	MED31	1
CDC5L	HSPA8	1
INO80E	MCRS1	1
ILF3	DROSHA	1
NELFE	NELFA	1
CENPL	CENPC	1
EIF3H	EIF3B	1
SNRNP27	SNRPD2	1
MED24	MED13L	1
SNRPD3	CDC40	1
INCENP	CDCA8	1
NDUFB8	NDUFS7	1
MRPL50	MRPL16	1
RPL15	RPL12	1
ARPC4	ARPC5	1
MCC	NFKB2	1
SYNCRIP	HNRNPU	1
ATP5ME	ATP5F1A	1
LSM3	SYF2	1
MCC	REL	1
NDUFA1	NDUFA10	1
PHF21B	ZNF217	1
DDX11	CHTF18	1
AP3S1	BLOC1S3	1
SF3B4	BUD31	1
KMT2A	TBP	1
SF3B3	PDCD7	1
APBB1	APP	1
RPS2	RPL14	1
BUD31	SRRM1	1
TAF6	TAF2	1
RPL36	RPL18A	1
MBIP	TADA3	1
SF3B4	BCAS2	1
