Complexes(Gene Name)	virus-related-Gene	Percentage(|virus-related-Gene| / |complex|)
CD200R1;PVR	1	0.5
GRAMD4;ALG8;PIGW	1	0.333333333333
GPR108;TMEM68;TMEM223;ODR4;REEP5;TMEM161A;TMEM186;ATP13A3	2	0.25
CEP135;WRAP73	1	0.5
ERLEC1;OS9;UBE2J1;SYVN1;SEL1L	2	0.4
NIPAL1;TMEM143;TP53I11;CLPTM1L;MFSD9;ST7;TMCO3;TMEM245;RFT1;MFSD5;LMBRD2;ATP13A3;ATP13A1;SLC35F5;TLCD4;ERMP1	2	0.125
ALG6;PIGQ;LMF2;PIGW;ALG8;ALG10;POMT2;SOAT1;ERMP1;LPCAT3;ALG12;CDS1;CERS6	2	0.153846153846
RPL36;RPL28;RPL34;RPL18A;RPL27A;RPL14;RPL32;RPL31;RPL35A;RPLP1;RPL30;RPL27;RPLP2;RPL9P8;RPL21;RPL12;RPL8;RPL24;RPL10A;RPL26;RPL7;RPL37A;RPL18;RPL15;RPL7A;RPL11;RPL19;RPS26;RPL13A;RPL5;RPL6;RPS13;RPS14;RPS17;RPS24;RPS5;RPS8;RPL4;RPLP0;RPS16;RPS18;RPL23A;RPL13;RPS9;RPS19;RPL3;RPS20;RPS3A;RPS25;RPS23;RPS3;RPS2;RPS15;RPS6	1	0.0185185185185
MTFMT;ATPAF1;ABHD11;PARS2;LARS2;ACSF2;EARS2;MIPEP;MMUT;GFM1;RARS2;IARS2;TMLHE;AK4;ACAA2;PCCB;GFM2;IVD;BCKDHA;OGDHL;ACSF3;BCKDK;D2HGDH;PCCA;IDH3G;ACAD10;NSUN4;TBRG4;DARS2;SARDH;TSFM;PTCD1;PUS1;MTHFD1L;NARS2;PC;YARS2;TARS2;DGLUCY;FECH;ALDH4A1;ERAL1;MCCC1;METTL15	3	0.0681818181818
ITGA1;ITGB1	1	0.5
FBLN1;FBLN5	1	0.5
MRPL32;MRPL14;MRPL53;MRPL34;MRPL43;MRPL33;MRPL54;MRPL39;MRPL49;MRPL50;MRPL18;MRPL37;MRPL21;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL13;MRPL48;MRPL38;MRPL9;MRPL11;MRPL47;MRPL35;MRPL28;MRPL55;MRPL17;MRPL41;MRPL27;MRPL51;MRPL46;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS17;MRPS21;MRPS18C;MRPS10;MRPS7;MRPS34;MRPS2;MRPS24;MRPS11;MRPS22;MRPS16;MRPS35;MRPL40;MRPS5;MRPS23;MRPS28;MRPS9;MRPL44	3	0.0434782608696
MRPS34;MRPS6;MRPS17;MRPS14;MRPS22;MRPS12;MRPS2;MRPS28;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL49;MRPL13;MRPL39;MRPL18;MRPL35;MRPL37;MRPL54;MRPL43;MRPL32;MRPL41;MRPL51;MRPL14;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44;GTPBP8	3	0.0428571428571
COPS8;CUL2;CUL1;CUL3;GPS1;SKP1;SKP2	1	0.142857142857
MAP7D1;FARP2	1	0.5
MPDU1;TMEM223;TMEM161B;TMEM68;RFT1;TMEM161A;DPY19L1;TMEM186;ATP13A3;ERMP1;PIGO;PTDSS2;PCNX3;LPCAT4;SOAT1;LPCAT3;CERS2;GPAT4;CERS6;TM9SF3;ATP13A1;ALG11;MBOAT7	5	0.217391304348
GNGT1;GNB1	1	0.5
SIRT5;FPGS;THEM4	1	0.333333333333
MRPL46;MRPL50;MRPL53;MRPL14;MRPL33;MRPL54;MRPL34;MRPL49;MRPL21;MRPL43;MRPL18;MRPL39;MRPL37;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL38;MRPL48;MRPL13;MRPL32;MRPL9;MRPL11;MRPL47;MRPL55;MRPL28;MRPL35;MRPL17;MRPL27;MRPL41;MRPL51;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS17;MRPS21;MRPS18C;MRPS10;MRPS7;MRPS34;MRPS2;MRPS24;MRPS11;MRPS22;MRPS16;MRPS35;MRPL40;MRPS5;MRPS6;MRPS23;MRPS9;MRPL44	3	0.0434782608696
ATP5F1E;ATP5F1D;ATP5PD;ATP5MG;ATP5PO;ATP5F1C	1	0.166666666667
ABHD16A;TMEM104;ST7;LMF2;TMEM39B;TMEM223;DPY19L1;TMPPE;LMBRD2;TMEM186;ERMP1;PIGO;TLCD4;LPCAT3;ALG9	4	0.266666666667
MGAT2;CHST10;PXYLP1;B4GALT4;MANEAL;GALNT7;TPST2;GALNT12;MAN2A2;LARGE2;B3GNT2;B4GALT7;B4GALT3;NDST2;GALNT13;NDST1;CHSY3;GALNT18;GALNT6;ST8SIA4;GLCE;ST3GAL4;B4GALT6;CHPF2;CHSY1;TPST1;MGAT1;GLT8D2;ST3GAL6;CHST3;ST6GALNAC3;HS6ST2;CHST7;ST6GALNAC4;C1GALT1C1;GALNT16;GALNT10;MGAT5	2	0.0526315789474
MRS2;SLC25A23;MTCH1;MTFP1;SLC25A51;SLC25A40;PARL	1	0.142857142857
