UniProt1	UniProt2	Weight
O15360	Q9HB96	1
P36507	Q02750	1
Q16630	O43809	1
P52434	P36954	1
Q16629	Q9UKV3	1
P62888	P05386	1
Q15528	Q9Y3C7	1
P62888	P62917	1
O95817	P11142	1
Q9H944	Q9ULK4	1
O15116	Q9Y333	1
Q9GZS1	P19838	1
Q96JN0	O60315	1
O14561	O95178	1
Q9UDW3	Q9BV90	1
Q92769	P51946	1
Q9P2J5	P56192	1
Q9NW64	P38919	1
O43660	P62318	1
Q9Y2L5	O75865	1
Q9NP66	Q96BD5	1
Q16560	Q9BWJ5	1
Q9H0E3	Q5PSV4	1
Q8IUR0	Q9Y296	1
O95169	O75438	1
Q13617	Q13309	1
Q9H7L9	Q9HCU9	1
Q96DX5	Q15369	1
P36954	P52435	1
Q12768	Q92888	1
Q9Y3B4	P62306	1
P06576	O75964	1
O75821	O00303	1
Q9UMN6	Q9C005	1
O60506	P67809	1
P42766	P62913	1
Q9BTT4	Q96G25	1
Q15029	O75643	1
Q9H944	Q9NPJ6	1
P62910	P62280	1
Q9Y3U8	P61313	1
P18077	P61353	1
P03897	Q9P0J0	1
O15511	P61160	1
Q9H160	Q5PSV4	1
O75934	P62318	1
Q92797	Q12996	1
P18621	P62910	1
Q9Y230	O94763	1
P18859	O75947	1
Q12849	Q7L2E3	1
Q9UBB9	Q14498	1
Q01658	Q9H8E8	1
Q96HR3	O60244	1
P38919	Q8IYB3	1
P62910	P61313	1
Q9NX70	Q9Y3C7	1
Q99459	P11142	1
Q8NBZ0	Q96EZ8	1
Q12906	Q9NRR4	1
P18615	Q9H3P2	1
Q8N0S6	Q03188	1
O15372	P55884	1
Q8WVK2	P62316	1
O75448	Q71F56	1
P62318	O60508	1
Q9NQS7	Q53HL2	1
O95169	O75251	1
Q8N5N7	Q9NX20	1
P61313	P30050	1
P59998	O15511	1
P23508	Q00653	1
O60506	Q00839	1
P56385	P25705	1
P62310	O95926	1
P23508	Q04864	1
O15239	O95299	1
Q96EK2	O75362	1
Q96FC9	Q8WVB6	1
Q92572	Q6QNY0	1
Q15427	P41223	1
Q03164	P20226	1
Q15393	Q8N8D1	1
O00213	P05067	1
P15880	P50914	1
P41223	Q8IYB3	1
P49848	Q6P1X5	1
Q9Y3U8	Q02543	1
Q9NS73	O75528	1
Q15427	O75934	1
Q6IPU0	Q9BU64	1
P26599	O60231	1
Q13243	Q14498	1
Q13435	P42285	1
Q9H160	Q9H7L9	1
Q13617	Q13618	1
Q9BZJ0	P38919	1
Q13573	Q9BUQ8	1
Q9NWB7	Q8TDR0	1
P62910	Q9HCE1	1
O43303	O15078	1
Q75QN2	Q9H0H0	1
Q9H4L4	Q99496	1
Q6IBW4	P42695	1
P46108	Q07889	1
O75821	Q9UBQ5	1
O75448	Q96G25	1
Q9NVP2	Q13112	1
Q12768	Q5T1M5	1
Q13616	Q04206	1
Q8WYQ5	O43390	1
Q09028	P68431	1
P61964	Q99496	1
P24539	P00846	1
Q9NXF1	Q9H7Z6	1
P07384	P04632	1
Q15696	Q13435	1
Q8N5N7	Q7Z2W9	1
Q9NVP2	Q9Y294	1
P84098	Q9UPY3	1
Q86SZ2	Q9Y296	1
Q13546	P01375	1
Q04864	Q00653	1
Q92766	O00257	1
P60228	O15371	1
P00846	P36542	1
Q9UL33	Q96Q05	1
O75821	Q9Y262	1
O14744	P62316	1
P0DI81	P48553	1
P09874	P0C0S5	1
O75478	Q8IYH5	1
Q9UBU6	Q9UBV2	1
Q04864	Q9UJF2	1
Q9GZP9	Q9Y385	1
Q6UN15	Q10570	1
Q9Y297	Q13309	1
Q9BUN8	Q86TM6	1
Q8IYU8	Q8NE86	1
P17568	P03915	1
O75446	O60341	1
P23025	P07992	1
P46777	P83731	1
P50613	P18074	1
P61353	P46779	1
Q9ULK4	Q71F56	1
Q9BUQ8	Q96DI7	1
Q08211	O95793	1
Q14155	Q9Y2X7	1
P13073	Q15526	1
Q15393	Q15427	1
P78371	P48643	1
P13073	P00414	1
P84243	Q9NVP2	1
Q92830	Q8IYH5	1
P54274	Q9BSI4	1
Q9NZJ0	Q16531	1
Q96EV8	Q92572	1
Q6P2Q9	P11388	1
Q01658	O75528	1
Q12768	Q2M389	1
O15372	Q9Y262	1
P23508	Q04206	1
O75533	Q9Y3B4	1
Q9UBB5	Q9NRL2	1
P02647	P02751	1
P84098	Q9Y3U8	1
Q9UKV3	O43719	1
P30876	P19388	1
P18077	Q9HCE1	1
Q04864	Q9Y6K9	1
Q9H160	Q9HCU9	1
Q15019	Q9UHD8	1
Q9NR30	Q08945	1
P23396	P61513	1
Q92769	Q9P2K3	1
Q02878	P62277	1
O15379	O60907	1
Q9Y333	P83876	1
P01574	P17181	1
