Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
Q9BV10;P35610;Q643R3;P04844;Q96AA3;Q2TAA5;Q86UL3;Q7Z2K6;Q6P1A2;Q8TEQ8;Q96N66;Q9UKY4;Q92903	3	0.230769230769
P30049;O75947;O75964;P48047;P36542;P18859;P56385;P00846	1	0.125
P19784;Q8WUA2;Q9UBC1	1	0.333333333333
P59780;P53677;Q13367;Q92572;Q9Y2T2;O00203;O14617	1	0.142857142857
P46779;P49207;Q02543;P50914;P62910;P18077;Q9Y3U8;P05386;P62888;P61353;P05387;P61513;P62424;P61313;P46778;P30050;P62899;P46776;P62906;P18124;P84098;P32969;P62917;P62913;P61254;P83731;Q07020;P62854;P40429;P46777;Q02878;P62277;P62263;P26373;P36578;P05388;P62847;P62241;P46782;P08708;P62249;P42766;P62750;P62269;P39019;P46781;P39023;P60866;P62851;P61247;P15880;P62841;P23396;P62266;P62753;P62244	1	0.0178571428571
Q9NPC8;Q08117	1	0.5
Q08431;P00742	1	0.5
Q6PI48;Q15119;Q15118;Q96I59	1	0.25
P62263;P18124;P62851;P18077;P62249;P62906;P62888;P46779;Q02543;P50914;Q9Y3U8;P62899;P05386;P62910;P46776;P05387;P49207;P62917;P61254;Q07020;P61513;P40429;P62269;P62854;P62277;P62847;P62913;P46777;P61313;P62750;P62424;P61353;P84098;P30050;P46782;P32969;P08708;P62241;P83731;Q02878;P39019;P42766;P36578;P05388;P46781;P26373;P60866;P15880;P62841;P23396;P61247;P62266;P62753;P39023;P62244	1	0.0181818181818
P82675;P82932;P82930;P82650;Q9Y2R5;O60783;Q9Y399;Q9Y2Q9;O15235;P82664;P82921;Q9Y3D5;Q9NVS2;P82912;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2	3	0.0422535211268
Q9UHB9;P09132	1	0.5
Q96EE3;Q8NFH3;Q8WUM0;P57740;Q8NFH4;Q12769;P55735;P52948	1	0.125
P00750;O94813	1	0.5
Q5BJH7;O95070	1	0.5
Q8IY37;Q8TDN6;Q9H7B2;Q9NVX2;Q9H0U9;Q9Y324;P46087;Q9NVU7;Q9Y2R4;P42696;Q9GZR2;Q8N567;Q9UHA3;Q9NQZ2;Q6RFH5;O15381;Q68D10;Q8TDD1;Q15269;Q8IY81;Q12788;Q5QJE6;Q8NI36;Q14692;Q9H6F5;O95625;O75683;Q9H501;Q15572	1	0.0344827586207
O75683;Q9H7B2;Q9H6W3;Q8TDN6;Q9Y324;Q8IY37;Q9Y3C1;Q9GZR2;Q9NVX2;Q9H0U9;P46087;Q9Y2R4;Q9NVU7;P42696;Q9UHA3;Q6RFH5;Q9NQZ2;Q9Y221;P17020;O15226;Q68D10;Q5QJE6;Q8IY81;Q12788;Q8TDD1;Q8N567;Q14692;Q15572;O95625;Q7L3S4;Q9H9L3;O15381;Q9H501;Q15269;Q8WTT2;Q9H6F5;Q8NI36;Q9Y5J1;O15213;Q9P275	1	0.025
P52565;P61586	1	0.5
Q92769;O75362;Q13547	1	0.333333333333
Q86YT6;Q8TAP6	1	0.5
Q15369;Q15370	2	1.0
P17301;P05556	1	0.5
Q9Y2K6;Q8TEP8;Q9NVX0;Q96CS2;Q9BT25;Q99871;Q9H6D7;Q7Z4H7;Q15468;O95684;O94927	1	0.0909090909091
Q9HBR0;O95870;Q9NRC1;Q8NE00;A0PJW6;Q9GZU3;Q9BU23;Q6ZT21;Q2PZI1;Q96B77;Q96MV1;Q7Z2K6;Q6P1A2;Q8TEQ8;Q9H6U8	4	0.266666666667
O94901;Q9UH99	1	0.5
